""" HoloLens",HoloLens
none of Ankara,Ankara
noninfluential,noninfluential
noninvasive brain,noninvasive brain
noninvasive methods,noninvasive method
nonobese applicants,nonobese applicant
nonplussed Verity,nonplussed verity
nonprofit Center,nonprofit center
normal activity,normal activity
normal breathing,normal breathe
normal places,normal place
normal subgroups,normal subgroup
normals,normal
north,north
northeast Syria,northeast Syria
nose,nose
not facial unattractiveness,facial unattractiveness
not geographical closeness,geographical closeness
not the desire,desire
not “surprising” customers,surprising customer
not-so-subtle nudge,subtle nudge
notes,note
notice,notice
notions,notion
notwendige Anschluss,Anschluss
notwendigen Serienreife,Serienreife
novel illumination,illumination
novel policies,policy
novel strategies,strategy
novel tools,tool
novelist,novelist
nuclear war,nuclear
nucleation,nucleation
nucleation and growth,nucleation growth
number,number
number and type,number type
number of countries,number country
number of int,number int
number of integers,number integer
number of occupants,number occupant
number of pairs,number pair
number of scholars,number scholar
number of spreading,number spread
number of studies,number study
number of transmissions,number transmission
number phonemic change,number phonemic change
number/time,number time
numbers,number
numerical analysis,numerical analysis
numerical data types,numerical data type
numerous validity issues,numerous validity issue
numerous ways,numerous
numpages,numpage
nur ein Zwischenschritt,Zwischenschritt
nur einen Operator,Operator
nursing homes,nursing
nutritional value,nutritional
nuts,nut
nutshell,nutshell
nächste Wort,Wort
nächsten Generation,Generation
näheren Umgebung,Umgebung
oath,oath
oberen „Angriffsachse,Angriffsachse
obese,obese
obese students,obese student
obesity,obesity
obesity of applicant,obesity applicant
obesity variables,obesity variable
object,object
object recognition,object recognition
object self-image,object image
object size,object size
objective,objective
objective of Microsoft,objective Microsoft
objective of Russia,objective Russia
objectivity,objectivity
objects,object
obligatory joke,obligatory joke
obscene comparison,obscene comparison
observations,observation
observed objects,observed object
observed ratios,observed ratio
obstacle,obstacle
obstacle classes,obstacle class
obstacles,obstacle
obstruction,obstruction
obvious deployment,obvious deployment
obvious emotional distress,obvious emotional distress
occlusion,occlusion
occupants and t,occupants
occupational domain,occupational domain
ocean surface,ocean surface
ocean surface warming,ocean surface warm
ocean-going vessels,ocean vessel
odds,odd
oder andere Überraschung,Überraschung
off-limits,limits
offender attractiveness,offender attractiveness
offensichtlichen Einsatzmöglichkeiten,Einsatzmöglichkeiten
offensive,offensive
offensive operations,offensive operation
offices,office
official position,official position
official store,official store
officials,official
offiziellen Ankündigung,Ankündigung
oft-cited example,cited
often-confusing reinvention,confusing reinvention
oil,oil
old mediums,medium
old plans,plan
old social boundaries,social boundary
older job applicants,older job applicant
older laptops,older laptop
ome analysts,ome analyst
omissions,omission
once distinct types,distinct type
oneself,oneself
one’s mind,mind
ongoing challenge,ongoing challenge
online access,access
online app,app
online chatter,chatter
online conversation,conversation
online fans,fan
online rooms,room
online viewing room,viewing room
online-only spaces,space
onlookers,onlooker
only Russian enablers,Russian enabler
only a handful,handful
only escape,escape
only interaction,interaction
only lip service,lip service
only modest headway,modest headway
only one gate,gate
only player,player
only practical way,practical
only software,software
onrushing wall,onrushing wall
onset,onset
open data,open datum
open letter,open letter
open mind,open mind
open platforms,open platform
open pneumothorax,open pneumothorax
open space,open space
open-ended air campaign,open ended air campaign
open-ended software,open ended software
open-ended spaghetti box,open ended spaghetti box
operating tanks,operating tank
operational activity,operational activity
operational errors,operational error
operational flight trainer,operational flight trainer
operational needs,operational
operationeller Vorteil,Vorteil
operations,operation
operations research/systems analyst,operations systems analyst
operative Bevölkerungsschutz,Bevölkerungsschutz
operativen Abläufen,Ablauf
opera’s streaming platform,opera streaming platform
opinion,opinion
opinions,opinion
opportunistic peg,opportunistic peg
opportunities,opportunity
opportunity,opportunity
opposing hand,opposing hand
opposing ideological worldviews,opposing ideological worldview
opposing sides,opposing
opposite directions,direction
opposite preferences,preference
opposite: context restoration,context restoration
opposition,opposition
opposition’s losses,opposition loss
optic nerve,optic nerve
optical output power,optical output power
optics,optic
optics and focus,optics focus
optimal approach,optimal approach
optimal solution,optimal solution
optimalem Lagebewusstsein,Lagebewusstsein
optimaler Wärmeaustausch,Wärmeaustausch
optimization,optimization
opting,opt
option,option
optional montierbare Sensoren,Sensor
optionale Erweiterung,Erweiterung
optionaler Laser-Entfernungsmesser,Laser Entfernungsmesser
or most jobs,job
oracle model,oracle model
orbit,orbit
orbit of characters,orbit character
orbital observation data,orbital observation datum
order,order
order of m,order
order of magnitude,order magnitude
organic compounds,organic compound
organic matrix,organic matrix
organic polymer,organic polymer
organic polymer chitin,organic polymer chitin
organisations,organisation
organization,organization
organizational change,organizational change
organizational hierarchies,organizational hierarchy
organizational inclusion,organizational inclusion
organizational issue,organizational issue
organizations,organization
organized co,organized
organizing principle,organizing principle
orientation,orientation
origin,origin
original Cosmos,original cosmos
original plan,original plan
original representation,original representation
"original, unique link",original unique link
originally announced intent,originally announced intent
origins,origin
"other 
 physical properties",physical property
other American designers,American designer
other US forces,force
other VR headsets,VR headset
other VR simulations,VR simulation
other applications,application
other areas,area
other assets,asset
other attractions,attraction
other axioms Ordinals,axioms ordinal
other bright environments,bright environment
other confrontational moves,confrontational
other contexts,context
other control,control
other data,datum
other dimensions,dimension
other direction,direction
other early aircraft,early aircraft
other early aviators,early aviator
other encryption techniques,encryption technique
other factors,factor
other foreign threats,foreign threat
other government programs,government program
other hand,hand
other high-carbon infrastructure,high carbon infrastructure
other important orientations,orientation
other interaction terms,interaction term
other limitations,limitation
other methods,method
other models' variants,models variant
other nuances,nuance
other options,option
other people,people
other potential users,potential user
other registrants,registrant
other rich nations,rich nation
other rich societies,rich society
other rule-like behaviors,rule behavior
other service capabilities,service capability
other significant injuries,injury
other social networks,social network
other sociologists,sociologist
other suppliers,supplier
other surfaces,surface
other team members,team member
other training scenarios,training scenario
other users,user
other weapons,weapon
other words,word
others language,language
our History Newsletter,History newsletter
our MR products,product
our adversaries,adversarie
our algorithm,algorithm
our alliances,alliance
our approach,approach
our arms,arm
our belief system,belief
our best stories,story
our brilliant innovators,brilliant innovator
our cognitive maps,cognitive map
our commitment,commitment
our communications,communication
our conversation,conversation
our customers,customer
our dealers,dealer
our determination,determination
our diversity,diversity
our experiment,experiment
our expressiveness,expressiveness
our eyeballs,eyeball
our findings,finding
our general behaviour,general behaviour
our hardware,hardware
our heads,head
our identities,identitie
our knowledge,knowledge
our military bases,military basis
our minds,mind
our model,model
our moment,moment
our national power,national power
our newsletters,newsletter
our planet burns,planet burn
our popular newsletter,popular newsletter
our program,program
our protagonist,protagonist
our respective nations,respective nation
our results,result
our retinas,retina
our safety guideline,safety guideline
our senses,sense
our shared adversaries,shared adversarie
our social experience,social experience
our study,study
our subjects,subject
our suggestion,suggestion
our sustainability,sustainability
our technique,technique
our times,time
our transformation,transformation
our weekly newsletter,weekly newsletter
our work,work
outbreak,outbreak
outbreaks,outbreak
outbreaks yields,outbreaks yield
outcome,outcome
outcomes,outcome
outdoor use,outdoor
outgroups,outgroup
outlook,outlook
output,output
outright negativity,outright negativity
outsourcing companies,outsourcing company
outward display,outward display
outward-facing cameras,outward facing camera
overall military effectiveness,military effectiveness
overall productivity,productivity
overestimate,overestimate
overhead,overhead
overlay,overlay
overlays,overlay
overmatch,overmatch
overrepresentation,overrepresentation
overseas aid,overseas aid
overseas aid budget,overseas aid budget
oversight,oversight
oversimplification,oversimplification
overview,overview
overweight,overweight
overwhelming evidence,overwhelming evidence
overwhelmingly positive terms,overwhelmingly positive term
own Proton-like device,Proton device
own children,child
own feelings,feeling
own giddying perspectives,giddying perspective
own high-quality components,high quality component
own intricacy,intricacy
own processing,processing
own security,security
own team,team
own template,template
ownership,ownership
oxygen,oxygen
oxygen and nitrogen,oxygen nitrogen
oxygen) trainer,oxygen trainer
p-adic analysis Line,adic analysis
p-adics,adics
pace,pace
packed dystopia,packed dystopia
painful detail,painful
paint,paint
paint tools,paint tool
pair,pair
paired dataset transformations,paired dataset transformation
pairs,pair
pairwise,pairwise
palette,palette
palm,palm
palpably physical effect,palpably physical
pandas,panda
pandemic,pandemic
pandemic status,pandemic status
panel,panel
panel of radiologists,panel radiologist
paper,paper
paper and step,paper step
papers,paper
parallel algorithms,parallel algorithm
parallel computing capabilities,parallel computing capability
parallel reality,parallel reality
parallele Datenverarbeitung,Datenverarbeitung
parallelizable algorithms,parallelizable algorithm
parameter,parameter
parameters,parameter
parchment,parchment
parent-child ties,parent child tie
parents,parent
parents and teachers,parents teacher
park,park
parking brakes,parking brake
parliament,parliament
part task trainers,task trainer
participant,participant
participants,participant
participants’ minds,participants mind
participating faculty,participating faculty
participating institutions,participating institution
participating residency programs,participating residency program
participation,participation
particle,particle
particle shape,particle shape
particles,particle
particular attention,attention
particular commander,commander
particular day,day
particular domain,domain
particular experience,experience
particular organization,organization
particular shade,shade
particular weights,weight
particularly challenging benchmark,challenging benchmark
particularly emotional responses,emotional response
particularly gracious circumstances,gracious circumstance
"particularly the ""field",field
partisan problem,partisan problem
partition,partition
partners,partner
partnership,partnership
partnerships,partnership
partnerships and alliances,partnerships alliance
party,party
party leadership,party leadership
partygoers,partygoer
pass,pass
passage rituals role,passage rituals role
passes,pass
passing reference,passing reference
passive method,passive method
past Word problems,Word problem
past decade,decade
past simulators,simulator
past year,year
past/present/future person,future person
pastimes,pastime
patent pool,patent pool
patent trouble,patent trouble
path independence,path independence
path lifts,path lift
path planning visualization,path planning visualization
pathogen,pathogen
pathogen bearing,pathogen bear
pathogen concentration,pathogen concentration
pathogen transmission,pathogen transmission
pathogen transport,pathogen transport
pathogen-laden droplets,pathogen laden droplet
paths,path
patient-specific postprocessing,patient specific postprocesse
patients,patient
pattern recognition,pattern recognition
pattern recognition tasks,pattern recognition task
patterns,pattern
patterns and relations,patterns relation
pauses polysemy,pauses polysemy
pavement,pavement
peace symbol,peace symbol
peacetime,peacetime
peak,peak
peaks,peak
peanuts,peanut
peanuts and Brazil,peanuts Brazil
pedagogical materials,pedagogical material
pedagogical purpose,pedagogical purpose
pedestrianisation,pedestrianisation
pedestrians,pedestrian
peer,peer
peer-level conflict,peer level conflict
peer-reviewed manuscripts,peer reviewed manuscript
people,people
people and organizations,people organization
people semantic category,people semantic category
people's foreheads,people forehead
people-centred design,people centred design
people-shaped holes,people shaped hole
peoples’ fears,peoples fear
people’s armed forces,people armed force
people’s attitudes,people attitude
perceived impact,perceived impact
percentage,percentage
perception,perception
perceptions,perception
percolation and convection,percolation convection
perfect fit,perfect fit
perfection,perfection
performance,performance
performance results,performance result
performer,performer
perhaps Stuttgart,stuttgart
period,period
peripheral vision,peripheral vision
periphery,periphery
periphery of vision,periphery vision
perks,perk
permament tools,permament tool
permanence,permanence
permanent base,permanent base
permanent damage,permanent damage
permutation,permutation
permutations Djikstra's us,permutations Djikstra
person,person
person and i,person
personal correspondence,personal correspondence
personal information,personal
personal interviews,personal interview
personal names,personal
personal posts,personal post
personal relations,personal relation
personal statements,personal statement
personality,personality
personnel,personnel
persons,person
person’s] social identity,person social identity
perspective,perspective
perspective of symmetry,perspective symmetry
perspectives,perspective
perspectives and interests,perspectives
perspectives of people,perspectives people
pervasive Category theory,pervasive Category theory
pesky fly,pesky fly
pets,pet
pharmaceutical simulation,pharmaceutical simulation
pharmaceuticals,pharmaceutical
phase,phase
phenomenon,phenomenon
philosophers,philosopher
phone call,phone
phone interview,phone interview
phonemes,phoneme
phonemes vowel,phonemes vowel
phonemic change,phonemic change
phones,phone
phosphoric acid,phosphoric acid
photo,photo
photo-realistic imagery,photo realistic imagery
photograph,photograph
photon,photon
photorealistic scenic imagery,photorealistic scenic imagery
photorealistic video,photorealistic video
photoreceptors,photoreceptor
phrasing,phrase
physical appearance,physical appearance
physical attractiveness stereotype,physical attractiveness stereotype
physical attributes,physical attribute
physical contact,physical contact
physical environments,physical environment
physical equipment,physical equipment
physical features,physical feature
physical intuition,physical intuition
physical isolation,physical isolation
physical one,physical
physical phenomenon,physical phenomenon
physical simulation,physical simulation
physical spaces,physical space
physically plausible results,physically plausible result
physicist,physicist
physicists,physicist
physics,physics
physics standpoint,physics standpoint
physics-based characters,physics based character
physiological signals,physiological signal
picture,picture
pictured Proton headset,pictured Proton headset
piece,piece
piece of paper,piece paper
piece of parchment,piece parchment
pile,pile
pilot instrumentation training,pilot instrumentation training
pilot shortage,pilot shortage
pilot training curriculum,pilot training curriculum
pilots,pilot
pilots and engineers,pilots engineer
pilot’s face mask,pilot face mask
pinhead,pinhead
pioneering research,pioneering
pioneering vloggers,pioneering vlogger
pioneers of what,pioneers
pipe,pipe
pivotal times,pivotal time
pixel,pixel
pixel-level labels,pixel level label
place,place
placement,placement
plan,plan
plane,plane
planet,planet
planning,plan
planning permission,planning permission
plans,plan
plasticizer,plasticizer
platform,platform
platform-specific training needs,platform specific training
platforms,platform
play,play
played-out buzzword,played buzzword
player,player
player biases,player bias
player character,player character
player moves,player
players,player
playing field,playing field
playthings,plaything
pleasure,pleasure
plot,plot
plot of land,plot land
plot thoughts,plot thought
plug-and-play solution,plug play solution
podcasters,podcaster
poem,poem
point,point
point of need,point
pointed sets,pointed set
pointer,pointer
points of view,points view
pokemon gold,pokemon gold
police,police
police officers,police officer
police violence,police violence
policy,policy
policymakers,policymaker
polished concept,polished concept
political correctness,political correctness
political costs,political cost
political figures,political figure
political moderation,political moderation
political points,political point
political scientists,political scientist
political spectrum,political spectrum
political system,political
politically useful narrative,politically narrative
politicians,politician
politics,politic
polling,poll
polluters,polluter
polydisperse suspension,polydisperse suspension
polydispersity of t,polydispersity
polynomial rings,polynomial ring
pools,pool
poor countries,poor country
poor world,poor
poorer nations,poorer nation
poorer societies,poorer society
pop,pop
pop and dance,pop dance
popular candidate votes,popular candidate vote
popularity,popularity
population,population
population and America,population America
populist age,populist age
port,port
portable containerised system,portable containerised
portable dwellings,portable dwelling
portion,portion
portrait relighting,portrait relighte
pose,pose
poser,poser
position,position
position and shape,position shape
position of member,position member
positive competition,positive competition
positive effects,positive
positive self,positive
positive self-concept,positive concept
positive sentiment,positive sentiment
possibilities,possibility
possibility,possibility
possibility of role-play,possibility role play
possible Martian base,Martian base
possible defects,defect
possible design,design
possible scenario,scenario
possibly good news,good news
post,post
post-game analysis,post game analysis
post-hoc public inquiry,post hoc public inquiry
post-industrial society,post industrial society
poster presentations,poster presentation
posts,post
potential,potential
potential bias,potential bias
potential challenges,potential challenge
potential collaboration,potential collaboration
potential collectors,potential collector
potential escape routes,potential escape route
potential evils,potential evil
potential hazard,potential hazard
potential hazards,potential hazard
potential influence,potential influence
potential job losses,potential job loss
potential of AR,potential
potential of hand,potential hand
potential racism,potential racism
potential war-time scenarios,potential time scenario
potentially ground-breaking technology,ground breaking technology
potentially hazardous conditions,hazardous condition
potentially major event,major event
potentially unwelcome facts,unwelcome fact
potenziellen gegnerischen Streitkräften,Streitkräften
pounding toys,pounding toy
pounds,pound
poverty,poverty
power,power
power of it,power
power plant,power plant
power series,power series
powered flight,powered flight
powerful personnel,powerful personnel
powerful predictive models,powerful predictive model
powerful sensors,powerful sensor
powerpoint slides,powerpoint slide
practical advice,practical advice
practical use,practical
practically sized lenses,practically sized lense
practice,practice
pre-release tests,pre release test
precedence,precedence
precious little evidence,precious evidence
precise address,precise address
precise form,precise form
precise value,precise
precisely the endgame,precisely endgame
precisely those,precisely
precision,precision
precision bits,precision bit
precision munitions,precision munition
precision of FP16,precision FP16
preclinical class rank,preclinical class rank
precursor,precursor
predecessor project,predecessor project
predicted 2D,predicted 2D
predictions,prediction
predictions of DeepLab,predictions DeepLab
predictive validity,predictive validity
preference,preference
prefixes Operations,prefixes operation
prejudice,prejudice
prejudice and discrimination,prejudice discrimination
prejudices,prejudice
prejudicial attitudes,prejudicial attitude
preliminary analysis,preliminary analysis
preliminary evidence,preliminary evidence
premedical accomplishments,premedical accomplishment
premise,premise
premises,premise
preorders,preorder
preparation,preparation
preparations,preparation
prepared threat position,prepared threat position
preprocessing,preprocesse
presence,presence
presence of i,presence
present Sean Trainor,Sean trainor
presentation,presentation
president,president
president of Orolia,president Orolia
president of environment,president environment
press,press
pressure,pressure
prestige,prestige
pretense,pretense
pretty accurate feeling,pretty accurate feel
prevailing consensus,prevailing consensus
prevention,prevention
previous Bloomberg story,previous Bloomberg story
previous generations,previous generation
previous glasses,previous glass
previous insistence,previous insistence
previous section,previous
previous studies,previous study
previous work,previous work
previous years,previous year
previously known plans,plan
previously unseen speed,unseen speed
prey,prey
price,price
pride,pride
primary component,primary component
primary driver,primary driver
primary focus,primary focus
primary mechanisms,primary mechanism
primary transmission route,primary transmission route
primary vector,primary vector
prime Radical ideals,prime Radical ideal
prime contractor,prime contractor
prime example,prime
prime ideals,prime ideal
prime metric,prime metric
prime minister,prime minister
prime minister’s scramble,prime minister scramble
prime number,prime number
primes Burnside Theorem,primes Burnside Theorem
primitive amplifications,primitive amplification
primitive holographic displays,primitive holographic display
primordial cooperation,primordial cooperation
principal analyst,principal analyst
principal ideals,principal ideal
principle,principle
principle of control,principle control
principle vector,principle vector
principled way,principled
printouts,printout
prior studies,prior study
prior work,prior work
priority,priority
priors,prior
privacy,privacy
privacy concerns,privacy concern
private citizens,private citizen
private cloud,private cloud
private companies,private company
private inner life,private life
private study,private study
privilege,privilege
probabilistische Programmiersprache Pyro,Programmiersprache Pyro
probability,probability
problem,problem
problems,problem
problems and solutions,problems solution
procedures,procedure
process,process
processes,process
processing,processing
"processing ""puck",processing puck
processing burden,processing burden
processors,processor
product,product
product development,product development
product life cycle,product life cycle
product line,product
product strategist,product strategist
production,production
products,product
products and projects,products project
products and unit,products unit
products and unitarity,products unitarity
professionally dressed individual,professionally dressed individual
professionals,professional
professionellen Umfeld,Umfeld
professor Jeff Wilson,professor Jeff Wilson
proficient use,proficient
profits,profit
profits and universities,profits university
profound impact,profound impact
program,program
program analysis,program analysis
program director,program director
program manager,program manager
program segments,program segment
program support,program support
programme,programme
programme officials,programme official
programmed properties,programmed property
programmer,programmer
programmes,programme
programs,program
program’s standards,program standard
program’s success,program success
progress,progress
project,project
project PI,project
project Riccio,project Riccio
project force,project force
project management tools,project management tool
projected image,projected image
projections,projection
projective duality,projective duality
projective geometry,projective geometry
projective space Childhood,projective space childhood
projectors,projector
projects,project
proliferation,proliferation
prominent example,prominent
promise,promise
promising technology,promising technology
promising way,promising
promotion,promotion
promotional video,promotional video
pronounced short supply,pronounced short supply
pronouns pronouns,pronouns pronoun
proof,proof
proof of Cauchy,proof cauchy
proof of concept,proof concept
proof of infinitude,proof infinitude
propagandists,propagandist
proper strategy,proper strategy
properties,property
property,property
property development arm,property development arm
prophecy,prophecy
proportion,proportion
proportion of applicants,proportion applicant
proportion of tests,proportion test
proportionately smaller sample,proportionately smaller sample
proposals,proposal
proposed approach,proposed approach
proposed system,proposed
proprietary add-ons,proprietary add ons
proprietary systems,proprietary
proscribed music music,proscribed music music
prospect,prospect
prospect of Apple,prospect apple
protective equipment,protective equipment
protective properties,protective property
protein,protein
protein biology,protein biology
protest,protest
protests,protest
protests and riots,protests riot
prototype,prototype
prototype device,prototype device
prototypes,prototype
prototypes of VRD,prototypes VRD
prototyping,prototype
"protracted, counter-insurgent campaign",protracted counter insurgent campaign
protrusions,protrusion
proven track record,proven track record
provider,provider
providers of co,providers
providers of content,providers content
provincial government,provincial government
proxy actors,proxy actor
proxy conflicts,proxy conflict
pseudonymous accounts,pseudonymous account
psychedelic dancing figures,psychedelic dancing figure
psychic power,psychic power
psychological ratings,psychological rating
psychological stress,psychological stress
psychologists,psychologist
psychology,psychology
psychology research,psychology
public,public
public affairs branch,public affairs branch
public cloud,public cloud
public commitment,public commitment
public compliance,public compliance
public confidence,public confidence
public figures,public figure
public health crises,public health crisis
public investments,public investment
public opinion,public opinion
public perceptions,public perception
public places,public place
public platform,public platform
public testing,public testing
public transportation,public transportation
public writ,public writ
"public/political 
 realm males",public political realm male
publicity,publicity
public’s shared reality,public shared reality
pubs,pub
pubs and restaurants,pubs restaurant
puff train,puff train
pun) gesture,pun gesture
punching,punch
purchase,purchase
pure fantasy,pure fantasy
pure mathematicians,pure mathematician
pure mathematics,pure mathematic
purpose,purpose
purposes,purpose
purposes of analysis,purposes analysis
pursuit,pursuit
pursuit of military,pursuit military
push,push
puzzle,puzzle
python3 Split,python3 split
quadratic equation,quadratic equation
qualifications,qualification
qualifications and training,qualifications training
qualified professionals,qualified professional
qualitatively different prototype,qualitatively prototype
qualities,quality
quality,quality
quality and user,quality user
quality of care,quality care
quality of life,quality life
quantity,quantity
quantization schemes,quantization scheme
quantized simulation,quantized simulation
quantum,quantum
quantum computing,quantum compute
quarantine system,quarantine
quaternion curves,quaternion curve
question,question
question of land,question land
quick buck,quick buck
quick demonstration,quick demonstration
quick look,quick
quick overview,quick overview
quicksort Geometric proof,quicksort Geometric proof
quiescent air,quiescent air
quiescent ambient,quiescent ambient
r of spread,spread
race,race
race and class,race class
race and gender,race gender
race/ethnicity,race ethnicity
race/ethnicity and gender,race ethnicity gender
racial lines,racial
racial outrage,racial outrage
racism,racism
radical departure,radical departure
radically different scale,radically scale
radii,radii
radio station,radio station
radiologists,radiologist
radiology applicants,radiology applicant
radiology programs,radiology program
radiology residency,radiology residency
radiology residency applications,radiology residency application
radiology resident selection,radiology resident selection
radios,radio
radius r c,radius
ragtag set,ragtag set
random intercepts,random intercept
random nonlinear function,random nonlinear function
random order,random order
randomization,randomization
randomized academic variables,randomized academic variable
range,range
range of FP32,range FP32
range of attractiveness,range attractiveness
range of platforms,range platform
range of scale,range scale
range of training,range training
range of validity,range validity
range’s modular design,range modular design
rapid declassification,rapid declassification
rapid improvements,rapid improvement
rapid visualization tools,rapid visualization tool
rare denim,rare denim
rare example,rare
rare glimpse,rare glimpse
rarefied solo experience,rarefied solo experience
raschen Szenenwechsel,Szenenwechsel
rate,rate
rate of infection,rate infection
rate of inhalation,rate inhalation
rate player performance,rate player performance
rates of v,rates
rates of ventilation,rates ventilation
rather Microsoft,Microsoft
rather obvious conclusion,obvious conclusion
ratio,ratio
rationality,rationality
rauschfreie Ergebnis,Ergebnis
raw potential,raw potential
ray,ray
rays,ray
raytracing,raytrace
reach,reach
reaction,reaction
reactionary caricature,reactionary caricature
reactions,reaction
reactivity,reactivity
readiness,readiness
readiness ecosystem,readiness ecosystem
readiness outputs,readiness output
readiness reporting system,readiness reporting
real applications,real application
real control surfaces,real control surface
real datasets,real dataset
real deal,real deal
real environment,real environment
real equipment,real equipment
real hard-sphere systems,real hard sphere
real harm’s way,real harm
real images,real image
real life,real life
real life object,real life object
real location,real location
real number,real number
real piece,real piece
real space,real space
real support,real support
real thermodynamics,real thermodynamic
real thing,real
real time,real time
real time weather,real time weather
real world,real
real world situation,real situation
real world situations,real situation
real world sports,real sport
real-life type,real life type
real-time,real time
real-time approach,real time approach
real-time guidance,real time guidance
real-time planning support,real time planning support
real-time sensing technologies,real time sensing technology
real-time video games,real time video game
real-valued features,real valued feature
real-world community,real community
real-world guns,real gun
real-world imagery,real imagery
real-world path,real path
real-world wall,real wall
realen Luftfahrzeugverhaltens,Luftfahrzeugverhaltens
realen Personen,Person
realism,realism
realistic cockpit environment,realistic cockpit environment
realistic composite images,realistic composite image
realistic human motions,realistic human motion
realistic images,realistic image
realistic medical simulations,realistic medical simulation
realistic mission,realistic mission
realistic patient simulations,realistic patient simulation
realistic relighting,realistic relighte
realistic setting,realistic set
realistic threats,realistic threat
realistic training,realistic training
realistische Falten,Falte
realistischen Faltenwurf,Faltenwurf
reality,reality
reality glasses,reality glass
reality language,reality language
reality of content,reality content
really big event,big event
really good name,good
realm,realm
realm of VR,realm VR
reals Geometric characterization,reals Geometric characterization
rear outer tips,rear outer
rear-crew,rear crew
reason,reason
reasonable return,reasonable return
reasons,reason
rebel demands,rebel demand
rebound,rebound
rebuilding,rebuild
rebuilding of coronavirus,rebuilding coronavirus
rebuilds,rebuild
recent GANs,GANs
recent SolarWinds hack,SolarWinds hack
recent feud,feud
recent focus area,focus area
recent history,history
recent training devices,training device
recent weeks,week
recipe,recipe
recipient,recipient
recipient’s respiratory mucosae,recipient respiratory mucosa
reciprocal exchanges,reciprocal exchange
recognized leaders,recognized leader
recommendation,recommendation
recommendation letter contents,recommendation letter content
recommender systems,recommender
reconnaissance,reconnaissance
reconnaissance overwatch,reconnaissance overwatch
reconnaissance platforms,reconnaissance platform
recording,record
records engagement,records engagement
recovery,recovery
recovery dollars,recovery dollar
recovery package,recovery package
recovery plan,recovery plan
recruits,recruit
recurrence,recurrence
recurrent neural networks,recurrent neural network
recycled materials,recycled material
redrawing,redrawe
reduced memory space,reduced memory space
reduced rings,reduced ring
reduced tower,reduced tower
reduced versions,reduced
reduction operations,reduction operation
redundant computing cycles,redundant computing cycle
reference,reference
refined estimates,refined estimate
reflections,reflection
reflexive mouse clicks,reflexive mouse click
reforestation projects,reforestation project
reform,reform
reframing,reframe
regard,regard
reggae,reggae
regime,regime
regime and Moscow,regime Moscow
regime armor,regime armor
regime forces,regime force
regime targets,regime target
regional conflicts,regional conflict
regions,region
regression tasks,regression task
regular meetings,regular meeting
regular press conferences,regular press conference
regular testing,regular testing
regularization effects,regularization
regulations,regulation
regulärer OLED-,OLED
reibungslose Zusammenarbeit,Zusammenarbeit
reibungsloses staatliches Handeln,Handeln
reinforcing ideas,reinforcing idea
reinforcing race essentialism,reinforcing race essentialism
rejection,rejection
rejection rates,rejection rate
related snakes,snake
relations,relation
relationships,relationship
relative influence,relative influence
relative magnitudes,relative magnitude
relative risk,relative risk
relative transmissibility,relative transmissibility
relatively crude estimate,crude estimate
relatively minimal movement,minimal movement
relatively safe facilities,safe facility
relatively small droplets,small droplet
relatively small investment,small investment
relatively unimpressive visuals,unimpressive visual
release,release
relevanten klimatischen Bedingungen,Bedingung
reliability,reliability
reliability and suitability,reliability suitability
reliable predictor,reliable predictor
relighting,relighte
religion,religion
religion and superstition,religion superstition
religiosity,religiosity
religious activity music,religious activity music
removal,removal
renaissance,renaissance
rendering,render
rendering strategy,rendering strategy
renewable energy,renewable energy
renewable energy certificates,renewable energy certificate
renewables,renewable
renewed focus,renewed focus
renewed interest,renewed
rent,rent
reopening,reopen
reopening of school,reopening school
repetitive red boxes,repetitive red box
replacement,replacement
reply,reply
report,report
report writing,report write
reporters,reporter
reporting,report
reports,report
representation theory,representation theory
representations,representation
representations and strategies,representations strategy
representative segmentation maps,representative segmentation map
representative workflow,representative workflow
represented value,represented
reproduction number,reproduction number
reputation,reputation
request,request
requests,request
required input,required input
required trust,required trust
requirements,requirement
requirements of I,requirements
research breakthroughs,breakthrough
research firm Omdia,firm omdia
research labs,lab
research project,project
research publications,publication
research question,question
research staff member,staff member
research team's findings,team finding
researcher's mode,researcher mode
researchers,researcher
resentment,resentment
residency,residency
residency application process,residency application process
residency applications,residency application
resident application screening,resident application screen
resident selection process,resident selection process
residents,resident
resilience,resilience
resilient military,resilient military
resilient performers,resilient performer
resolution,resolution
resource,resource
resource inputs,resource input
resources,resource
resources and models,resources model
respect,respect
respective platforms,respective platform
respiratory aerosols,respiratory aerosol
respiratory droplets,respiratory droplet
respiratory events,respiratory event
respiratory plume,respiratory plume
respiratory tract,respiratory tract
responders,responder
response,response
response times,response time
responses,response
responsibilities of citizenship,responsibilities citizenship
responsibility,responsibility
responsibility and authority,responsibility authority
responsible AI,responsible AI
rest,rest
rest of HTC,rest HTC
restaurants,restaurant
restless public,restless public
restrictions and that,restrictions
restrictive segments,restrictive segment
restrictives,restrictive
result,result
ret,ret
retail plan,retail plan
retailers,retailer
retaliatory airstrikes,retaliatory airstrike
retention,retention
retention efforts,retention effort
retention of people,retention people
retired member,retired member
retrospective review,retrospective review
return,return
return of territory,return territory
reverse Dynamic Programming,reverse Dynamic program
reverse mode AD,reverse mode
review,review
review and update,review update
reviewer gender,reviewer gender
reviewer identities,reviewer identitie
reviewer rating,reviewer rating
reviewer scores,reviewer score
reviewer website,reviewer website
